Código OACI,CIAD,Nome,Município,UF,Município Servido,UF Servido,LatitudeRaiz,LongitudeRaiz,Altitude,Operação Diurna,Operação Noturna,Designação 1,Comprimento 1,Largura 1,Resistência 1,Superfície 1,Designação 2,Comprimento 2,Largura 2,Resistência 2,Superfície 2,Situação,Validade do Registro,Portaria de Registro,Link Portaria,lat,lon
SWLC,GO0009,General Leite de Castro,RIO VERDE,Goiás,Rio Verde,Goiás,"17°50'05.0S""","050°57'22.0W""",751,VFR,VFR,03/21,1500,30,19/F/C/Y/U,Asfalto,,,,,,Cadastrado,17/05/2025,PA2015-1270,https://pergamum.anac.gov.br/arquivos/PA2015-1270.pdf,-17.834722222,-50.956111111
SBKP,SP0003,Viracopos,CAMPINAS,São Paulo,Campinas,São Paulo,"23°00'25.0S""","047°08'04.0W""",661,VFR / IFR - CAT I,VFR / IFR - CAT I,15/33,3240,45,56/F/B/X/T,Asfalto,,,,,,Cadastrado,05/12/2028,PA2018-3677,https://pergamum.anac.gov.br/arquivos/PA2018-3677.pdf,-23.006944444,-47.134444444
SJRG,RS0013,Regional de Rio Grande,RIO GRANDE,Rio Grande do Sul,Rio Grande,Rio Grande do Sul,"32°05'00.0S""","052°10'03.0W""",8,VFR,VFR,06/24,1900,30,11/F/B/Y/T,Asfalto,,,,,,Cadastrado,21/07/2030,PA2020-1743,https://pergamum.anac.gov.br/arquivos/PA2020-1743.pdf,-32.083333333,-52.1675
SNXB,MG0025,Caxambu,CAXAMBU,Minas Gerais,Caxambu,Minas Gerais,"21°55'03.0S""","044°58'10.0W""",865,VFR,VFR,09/27,1500,30,8/F/C/X/U,Asfalto,,,,,,Cadastrado,23/04/2030,PA2020-1077,https://pergamum.anac.gov.br/arquivos/PA2020-1077.pdf,-21.9175,-44.969444444
SBFL,SC0001,Hercílio Luz,FLORIANÓPOLIS,Santa Catarina,Florianópolis,Santa Catarina,"27°40'13.0S""","048°33'09.0W""",5,VFR / IFR - CAT I,VFR / IFR - CAT I,03/21,1320,45,26/R/B/X/T,Concreto,14/32,2400,45,78/F/A/X/T,Asfalto,Cadastrado,27/10/2027,PA2017-3540,https://pergamum.anac.gov.br/arquivos/PA2017-3540.pdf,-27.670277778,-48.5525
SBPG,PR0012,Comandante Antônio Amilton Beraldo,PONTA GROSSA,Paraná,Ponta Grossa,Paraná,"25°11'04.0S""","050°08'38.0W""",789,VFR / IFR Não Precisão,VFR / IFR Não Precisão,08/26,1430,30,33/F/C/X/U,Asfalto,,,,,,Cadastrado,18/11/2024,PA2018-2953,https://pergamum.anac.gov.br/arquivos/PA2018-2953.pdf,-25.184444444,-50.143888889
SBUF,BA0007,Paulo Afonso,PAULO AFONSO,Bahia,Paulo Afonso,Bahia,"09°24'04.0S""","038°15'04.0W""",269,VFR,VFR,14/32,1800,45,35/F/C/X/U,Asfalto,,,,,,Cadastrado,29/10/2025,PA2015-2868,https://pergamum.anac.gov.br/arquivos/PA2015-2868.pdf,-9.401111111,-38.251111111
SDIY,BA0013,João Durval Carneiro,FEIRA DE SANTANA,Bahia,Feira de Santana,Bahia,"12°12'02.0S""","038°54'23.0W""",238,VFR,VFR,13/31,1500,30,30/F/A/X/T,Asfalto,,,,,,Cadastrado,11/11/2014,PA2019-0627,https://pergamum.anac.gov.br/arquivos/PA2019-0627.pdf,-12.200555556,-38.906388889
SNMX,ES0003,Aeródromo Público de São Mateus,SÃO MATEUS,Espírito Santo,São Mateus,Espírito Santo,"18°43'17.0S""","039°50'01.0W""",30,VFR,VFR,08/26,1350,30,8/F/C/Y/U,Asfalto,,,,,,Cadastrado,30/07/2025,PA2015-2013,https://pergamum.anac.gov.br/arquivos/PA2015-2013.pdf,-18.721388889,-39.833611111
SNCX,ES0004,Colatina,COLATINA,Espírito Santo,Colatina,Espírito Santo,"19°29'04.0S""","040°35'04.0W""",153,VFR,VFR,15/33,1300,30,8/F/B/Y/T,Asfalto,,,,,,Cadastrado,22/05/2025,PA2019-1474,https://pergamum.anac.gov.br/arquivos/PA2019-1474.pdf,-19.484444444,-40.584444444
SBBW,MT0008,Barra do Garças,BARRA DO GARÇAS,Mato Grosso,Barra do Garças,Mato Grosso,"15°51'39.0S""","052°23'22.0W""",350,VFR / IFR Não Precisão,VFR / IFR Não Precisão,07/25,1598,30,20/F/C/Y/T,Asfalto,,,,,,Cadastrado,09/11/2026,PA2016-3033,https://pergamum.anac.gov.br/arquivos/PA2016-3033.pdf,-15.860833333,-52.389444444
SBSG,RN0001,Aeroporto Internacional do Rio Grande do Norte - Governador Aluizio Alves,SÃO GONÇALO DO AMARANTE,Rio Grande do Norte,Natal,Rio Grande do Norte,"05°46'08.0S""","035°21'59.0W""",83.2,VFR / IFR - CAT I,VFR / IFR - CAT I,12/30,3000,60,70/F/A/X/T,Asfalto,,,,,,Cadastrado,30/05/2024,PA2014-1256,https://pergamum.anac.gov.br/arquivos/PA2014-1256.pdf,-5.768888889,-35.366388889
SBNF,SC0002,Navegantes / Ministro Victor Konder - Internacional,NAVEGANTES,Santa Catarina,Navegantes,Santa Catarina,"26°52'43.0S""","048°39'03.0W""",5,VFR / IFR Não Precisão,VFR / IFR Não Precisão,07/25,1701,45,33/F/A/X/T,Asfalto,,,,,,Cadastrado,20/12/2013,PA2013-3372,https://pergamum.anac.gov.br/arquivos/PA2013-3372.pdf,-26.878611111,-48.650833333
SBJV,SC0004,Lauro Carneiro de Loyola,JOINVILLE,Santa Catarina,Joinville,Santa Catarina,"26°13'23.0S""","048°47'52.0W""",5,VFR / IFR - CAT I,VFR / IFR - CAT I,15/33,1540,45,51/F/A/W/T,Asfalto,,,,,,Cadastrado,13/04/2030,PA2020-1029,https://pergamum.anac.gov.br/arquivos/PA2020-1029.pdf,-26.223055556,-48.797777778
SBSP,SP0001,Congonhas,SÃO PAULO,São Paulo,São Paulo,São Paulo,"23°37'34.0S""","046°39'23.0W""",802,VFR / IFR - CAT I,VFR / IFR - CAT I,17R/35L,1940,45,50/F/B/X/T,Asfalto,17L/35R,1495,45,38/F/B/X/U,Asfalto,Cadastrado,12/12/2024,PA2014-2980,https://pergamum.anac.gov.br/arquivos/PA2014-2980.pdf,-23.626111111,-46.656388889
SBMT,SP0007,Campo de Marte,SÃO PAULO,São Paulo,São Paulo,São Paulo,"23°30'24.0S""","046°38'02.0W""",722,VFR,VFR,12/30,1600,45,16/F/C/Y/U,Asfalto,,,,,,Cadastrado,11/08/2025,PA2015-2143,https://pergamum.anac.gov.br/arquivos/PA2015-2143.pdf,-23.506666667,-46.633888889
SBAQ,SP0012,Bartolomeu de Gusmão,ARARAQUARA,São Paulo,Araraquara,São Paulo,"21°48'16.0S""","048°08'25.0W""",711,VFR / IFR Não Precisão,VFR / IFR Não Precisão,17/35,1800,30,40/F/A/X/T,Asfalto,,,,,,Cadastrado,25/08/2027,PA2017-2889,https://pergamum.anac.gov.br/arquivos/PA2017-2889.pdf,-21.804444444,-48.140277778
SWXQ,SP0015,Lins,LINS,São Paulo,Lins,São Paulo,"21°39'46.0S""","049°43'52.0W""",480,VFR,VFR,14/32,1700,35,30/F/B/X/T,Asfalto,,,,,,Cadastrado,16/10/2024,PA2014-2413,https://pergamum.anac.gov.br/arquivos/PA2014-2413.pdf,-21.662777778,-49.731111111
SWGN,TO0002,Araguaína,ARAGUAÍNA,Tocantins,Araguaína,Tocantins,"07°13'42.0S""","048°14'27.0W""",235,VFR,VFR,09/27,1804,45,44/F/C/X/U,Asfalto,,,,,,Cadastrado,21/08/2025,PA2015-2236,https://pergamum.anac.gov.br/arquivos/PA2015-2236.pdf,-7.228333333,-48.240833333
SNCP,SC0181,Aeroporto Regional do Planalto Serrano,CORREIA PINTO,Santa Catarina,Lages,Santa Catarina,"27°38'03.0S""","050°21'30.0W""",880,VFR / IFR Não Precisão,IFR Não Precisão,09/27,1802,30,57/F/B/X/T,Asfalto,,,,,,Cadastrado,05/02/2030,PA2020-0315,https://pergamum.anac.gov.br/arquivos/PA2020-0315.pdf,-27.634166667,-50.358333333
SSOE,SC0015,Hélio Wasum,DESCANSO,Santa Catarina,São Miguel do Oeste,Santa Catarina,"26°46'52.0S""","053°30'12.0W""",665,VFR,VFR,17/35,1260,18,11/F/A/Y/T,Asfalto,,,,,,Cadastrado,19/05/2030,PA2020-1292,https://pergamum.anac.gov.br/arquivos/PA2020-1292.pdf,-26.781111111,-53.503333333
SBPL,PE0002,Senador Nilo Coelho,PETROLINA,Pernambuco,Petrolina,Pernambuco,"09°22'03.0S""","040°33'49.0W""",384,VFR / IFR Não Precisão,VFR / IFR Não Precisão,13/31,3250,45,80/F/C/X/T,Asfalto,,,,,,Cadastrado,05/10/2021,PA2011-1907,https://pergamum.anac.gov.br/arquivos/PA2011-1907.pdf,-9.3675,-40.563611111
SDZG,CE0008,Pedro Teixeira Castelo Regional Tauá,TAUÁ,Ceará,Tauá,Ceará,"05°56'00.0S""","040°17'51.0W""",444,VFR,VFR,09/27,1200,30,7/F/C/Y/U,Asfalto,,,,,,Cadastrado,07/05/2030,PA2020-1189,https://pergamum.anac.gov.br/arquivos/PA2020-1189.pdf,-5.933333333,-40.2975
SDIM,SP0033,Dr. Antonio Ribeiro Nogueira Júnior,ITANHAÉM,São Paulo,Itanhaém,São Paulo,"24°09'53.0S""","046°47'08.0W""",3,VFR,VFR,15/33,1350,30,31/F/C/X/T,Asfalto,,,,,,Cadastrado,23/09/2030,PA2020-2423,https://pergamum.anac.gov.br/arquivos/PA2020-2423.pdf,-24.164722222,-46.785555556
SBJE,CE0003,Comandante Ariston Pessoa,CRUZ,Ceará,Cruz,Ceará,"02°54'24.0S""","040°21'29.0W""",27,VFR / IFR Não Precisão,VFR / IFR Não Precisão,08/26,2200,45,62/F/B/W/T,Asfalto,,,,,,Cadastrado,03/03/2026,PA2017-3750,https://pergamum.anac.gov.br/arquivos/PA2017-3750.pdf,-2.906666667,-40.358055556
SBBH,MG0003,Pampulha - Carlos Drummond de Andrade,BELO HORIZONTE,Minas Gerais,Belo Horizonte,Minas Gerais,"19°51'07.0S""","043°57'02.0W""",789,VFR / IFR Não Precisão,VFR / IFR Não Precisão,13/31,2364,45,44/F/B/X/T,Asfalto,,,,,,Cadastrado,18/04/2027,PA2017-1295,https://pergamum.anac.gov.br/arquivos/PA2017-1295.pdf,-19.851944444,-43.950555556
SNDV,MG0015,Brigadeiro Antônio Cabral,DIVINÓPOLIS,Minas Gerais,Divinópolis,Minas Gerais,"20°10'55.0S""","044°52'12.0W""",795,VFR,VFR,17/35,1540,30,20/F/B/X/T,Asfalto,,,,,,Cadastrado,07/01/2026,PA2016-0019,https://pergamum.anac.gov.br/arquivos/PA2016-0019.pdf,-20.181944444,-44.87
SBVG,MG0019,Major Brigadeiro Trompowsky,VARGINHA,Minas Gerais,Varginha,Minas Gerais,"21°35'20.0S""","045°28'24.0W""",922,VFR / IFR Não Precisão,IFR Não Precisão,04/22,2100,30,26/F/A/Y/T,Asfalto,,,,,,Cadastrado,05/12/2027,PA2017-3825,https://pergamum.anac.gov.br/arquivos/PA2017-3825.pdf,-21.588888889,-45.473333333
SBGV,MG0032,Coronel Altino Machado,GOVERNADOR VALADARES,Minas Gerais,Governador Valadares,Minas Gerais,"18°53'49.0S""","041°59'10.0W""",171,VFR / IFR Não Precisão,VFR / IFR Não Precisão,07/25,1701,30,31/F/B/X/T,Asfalto,,,,,,Cadastrado,16/04/2025,PA2015-0908,https://pergamum.anac.gov.br/arquivos/PA2015-0908.pdf,-18.896944444,-41.986111111
SBCY,MT0001,Marechal Rondon,VÁRZEA GRANDE,Mato Grosso,Cuiabá,Mato Grosso,"15°39'00.0S""","056°07'03.0W""",188,VFR / IFR - CAT I,VFR / IFR - CAT I,17/35,2300,45,46/F/B/X/U,Asfalto,,,,,,Cadastrado,23/08/2028,PA2018-2575,https://pergamum.anac.gov.br/arquivos/PA2018-2575.pdf,-15.65,-56.1175
SBSI,MT0002,Presidente João Batista Figueiredo,SINOP,Mato Grosso,Sinop,Mato Grosso,"11°53'06.0S""","055°35'10.0W""",374,,,03/21,1630,30,36/F/A/X/T,Asfalto,,,,,,Cadastrado,06/04/2026,PA2018-2965,https://pergamum.anac.gov.br/arquivos/PA2018-2965.pdf,-11.885,-55.586111111
SBMA,PA0004,João Corrêa da Rocha,MARABÁ,Pará,Marabá,Pará,"05°22'05.0S""","049°08'17.0W""",109,VFR / IFR Não Precisão,VFR / IFR Não Precisão,07/25,2000,45,40/F/C/X/U,Asfalto,,,,,,Cadastrado,17/04/2028,PA2018-1179,https://pergamum.anac.gov.br/arquivos/PA2018-1179.pdf,-5.368055556,-49.138055556
SBLO,PR0003,Governador José Richa,LONDRINA,Paraná,Londrina,Paraná,"23°19'49.0S""","051°08'12.0W""",569,VFR / IFR Não Precisão,VFR / IFR Não Precisão,13/31,2100,45,43/F/B/X/T,Asfalto,,,,,,Cadastrado,25/05/2028,PA2018-1601,https://pergamum.anac.gov.br/arquivos/PA2018-1601.pdf,-23.330277778,-51.136666667
SSFB,PR0021,Paulo Abdala,FRANCISCO BELTRÃO,Paraná,Francisco Beltrão,Paraná,"26°03'32.0S""","053°03'48.0W""",640,VFR,VFR,07/25,1340,30,11/F/C/Y/U,Asfalto,,,,,,Cadastrado,02/08/2028,PA2018-2357,https://pergamum.anac.gov.br/arquivos/PA2018-2357.pdf,-26.058888889,-53.063333333
SBRJ,RJ0002,Santos Dumont,RIO DE JANEIRO,Rio de Janeiro,Rio de Janeiro,Rio de Janeiro,"22°54'36.0S""","043°09'45.0W""",3,VFR / IFR Não Precisão,VFR / IFR Não Precisão,02L/20R,1260,30,39/F/B/X/T,Asfalto,02R/20L,1323,42,65/F/B/X/T,Asfalto,Cadastrado,11/07/2024,PA2014-1562,https://pergamum.anac.gov.br/arquivos/PA2014-1562.pdf,-22.91,-43.1625
SBCB,RJ0003,Cabo Frio,CABO FRIO,Rio de Janeiro,Cabo Frio,Rio de Janeiro,"22°55'15.0S""","042°04'17.0W""",7,VFR / IFR Não Precisão,VFR / IFR Não Precisão,10/28,2550,45,76/F/C/X/T,Asfalto,,,,,,Cadastrado,17/07/2029,PA2019-2127,https://pergamum.anac.gov.br/arquivos/PA2019-2127.pdf,-22.920833333,-42.071388889
SBJA,SC0005,Regional Sul,JAGUARUNA,Santa Catarina,Jaguaruna,Santa Catarina,"28°40'31.0S""","049°03'37.0W""",35,VFR / IFR Não Precisão,VFR / IFR Não Precisão,05/23,2499,30,57/F/A/X/T,Asfalto,,,,,,Cadastrado,04/02/2025,PA2015-0252,https://pergamum.anac.gov.br/arquivos/PA2015-0252.pdf,-28.675277778,-49.060277778
SBSR,SP0006,Professor Eriberto Manoel Reino,SÃO JOSÉ DO RIO PRETO,São Paulo,São José do Rio Preto,São Paulo,"20°48'58.0S""","049°24'17.0W""",544,VFR / IFR Não Precisão,VFR / IFR Não Precisão,07/25,1640,35,35/F/B/X/T,Asfalto,,,,,,Cadastrado,20/04/2028,PA2018-1262,https://pergamum.anac.gov.br/arquivos/PA2018-1262.pdf,-20.816111111,-49.404722222
SBSJ,SP0008,Professor Urbano Erenesto Stumpf,SÃO JOSÉ DOS CAMPOS,São Paulo,São José dos Campos,São Paulo,"23°13'44.0S""","045°52'16.0W""",647,VFR / IFR - CAT I,VFR / IFR - CAT I,16/34,2676,45,71/F/A/X/T,Asfalto,,,,,,Cadastrado,24/10/2028,PA2018-3263,https://pergamum.anac.gov.br/arquivos/PA2018-3263.pdf,-23.228888889,-45.871111111
SDOU,SP0023,Jornalista Benedito Pimentel,OURINHOS,São Paulo,Ourinhos,São Paulo,"22°58'25.0S""","049°54'41.0W""",462,VFR,VFR,16/34,1500,30,15/F/B/X/T,Asfalto,,,,,,Cadastrado,08/04/2030,PA2020-0978,https://pergamum.anac.gov.br/arquivos/PA2020-0978.pdf,-22.973611111,-49.911388889
SBBP,SP0036,Estadual Arthur Siqueira,BRAGANÇA PAULISTA,São Paulo,Bragança Paulista,São Paulo,"22°58'45.0S""","046°32'15.0W""",893,VFR,VFR,16/34,1200,30,16/F/B/X/T,Asfalto,,,,,,Cadastrado,17/12/2028,PA2018-3805,https://pergamum.anac.gov.br/arquivos/PA2018-3805.pdf,-22.979166667,-46.5375
SDAI,SP0047,Americana,AMERICANA,São Paulo,Americana,São Paulo,"22°45'19.0S""","047°16'05.0W""",611,VFR,VFR,12/30,1100,18,9/F/B/X/T,Asfalto,,,,,,Cadastrado,16/01/2027,PA2017-0097,https://pergamum.anac.gov.br/arquivos/PA2017-0097.pdf,-22.755277778,-47.268055556
SDPE,TO0003,Porto Nacional,PORTO NACIONAL,Tocantins,Porto Nacional,Tocantins,"10°43'01.0S""","048°24'01.0W""",265,VFR,Sem Operação,05/23,1700,30,27/F/B/X/T,Asfalto,,,,,,Cadastrado,20/02/2029,PA2019-0535,https://pergamum.anac.gov.br/arquivos/PA2019-0535.pdf,-10.716944444,-48.400277778
SNPY,MG0013,São Sebastião do Paraíso,SÃO SEBASTIÃO DO PARAÍSO,Minas Gerais,São Sebastião do Paraíso,Minas Gerais,"20°56'54.0S""","046°58'59.0W""",950,VFR,VFR,05/23,1600,30,8/F/C/Y/U,Asfalto,,,,,,Cadastrado,26/12/2029,PA2019-3901,https://pergamum.anac.gov.br/arquivos/PA2019-3901.pdf,-20.948333333,-46.983055556
SNOB,CE0013,Aeródromo Público de Sobral,SOBRAL,Ceará,Sobral,Ceará,"03°40'44.0S""","040°20'12.0W""",64,VFR,VFR,10/28,1033,30,8/F/C/Y/U,Asfalto,,,,,,Cadastrado,13/04/2030,PA2020-0984,https://pergamum.anac.gov.br/arquivos/PA2020-0984.pdf,-3.678888889,-40.336666667
SSZR,RS0027,Luis Alberto Lehr,SANTA ROSA,Rio Grande do Sul,Santa Rosa,Rio Grande do Sul,"27°54'32.0S""","054°31'20.0W""",309,VFR,VFR,07/25,1200,30,8/F/A/Y/T,Asfalto,,,,,,Cadastrado,07/05/2030,PA2020-1191,https://pergamum.anac.gov.br/arquivos/PA2020-1191.pdf,-27.908888889,-54.522222222
SBJF,MG0016,Francisco de Assis,JUIZ DE FORA,Minas Gerais,Juiz de Fora,Minas Gerais,"21°47'35.0S""","043°23'08.0W""",911,VFR / IFR Não Precisão,VFR / IFR Não Precisão,03/21,1535,30,32/F/A/Y/T,Asfalto,,,,,,Cadastrado,31/07/2030,PA2020-1921,https://pergamum.anac.gov.br/arquivos/PA2020-1921.pdf,-21.793055556,-43.385555556
SNVB,BA0008,Valença,VALENÇA,Bahia,Valença,Bahia,"13°17'47.0S""","038°59'33.0W""",5,VFR,VFR,04/22,1800,30,55/F/B/X/T,Asfalto,,,,,,Cadastrado,22/11/2025,PA2015-3090,https://pergamum.anac.gov.br/arquivos/PA2015-3090.pdf,-13.296388889,-38.9925
SNPD,MG0010,Patos de Minas,PATOS DE MINAS,Minas Gerais,Patos de Minas,Minas Gerais,"18°40'20.0S""","046°29'29.0W""",851,VFR,VFR,09/27,1700,30,39/F/A/Y/T,Asfalto,,,,,,Cadastrado,15/03/2026,PA2016-0576,https://pergamum.anac.gov.br/arquivos/PA2016-0576.pdf,-18.672222222,-46.491388889
SSOL,MG0027,Lavras,LAVRAS,Minas Gerais,Lavras,Minas Gerais,"21°14'38.0S""","044°58'10.0W""",959,VFR,VFR,05/23,1500,30,12/F/C/Y/T,Asfalto,,,,,,Cadastrado,23/11/2021,PA2011-2243,https://pergamum.anac.gov.br/arquivos/PA2011-2243.pdf,-21.243888889,-44.969444444
SBDO,MS0008,Dourados,DOURADOS,Mato Grosso do Sul,Dourados,Mato Grosso do Sul,"22°12'02.0S""","054°55'32.0W""",458,VFR / IFR Não Precisão,VFR / IFR Não Precisão,06/24,1950,30,28/F/B/X/T,Asfalto,,,,,,Cadastrado,27/12/2023,PA2013-3397,https://pergamum.anac.gov.br/arquivos/PA2013-3397.pdf,-22.200555556,-54.925555556
SBCJ,PA0006,Carajás,PARAUAPEBAS,Pará,Parauapebas,Pará,"06°06'55.0S""","050°00'05.0W""",629,VFR / IFR - CAT I,VFR / IFR - CAT I,10/28,2000,45,41/F/B/X/T,Asfalto,,,,,,Cadastrado,06/12/2023,PA2013-3204,https://pergamum.anac.gov.br/arquivos/PA2013-3204.pdf,-6.115277778,-50.001388889
SJZA,PB0004,Pedro Vieira Moreira,CAJAZEIRAS,Paraíba,Cajazeiras,Paraíba,"06°52'58.0S""","038°36'57.0W""",335,VFR,VFR,12/30,1600,30,26/F/B/X/T,Asfalto,,,,,,Cadastrado,17/11/2026,PA2016-3365,https://pergamum.anac.gov.br/arquivos/PA2016-3365.pdf,-6.882777778,-38.615833333
SSGG,PR0009,Tancredo Thomas de Faria,GUARAPUAVA,Paraná,Guarapuava,Paraná,"25°23'18.0S""","051°31'25.0W""",1065,VFR / IFR Não Precisão,VFR / IFR Não Precisão,08/26,1365,30,23/F/C/X/T,Asfalto,,,,,,Cadastrado,20/02/2029,PA2019-3943,https://pergamum.anac.gov.br/arquivos/PA2019-3943.pdf,-25.388333333,-51.523611111
SBPO,PR0018,Aeroporto Juvenal Loureiro Cardoso,PATO BRANCO,Paraná,Pato Branco,Paraná,"26°13'02.0S""","052°41'40.0W""",823,VFR / IFR Não Precisão,VFR / IFR Não Precisão,07/25,1317,30,50/F/A/X/T,Asfalto,,,,,,Cadastrado,05/04/2029,PA2019-0993,https://pergamum.anac.gov.br/arquivos/PA2019-0993.pdf,-26.217222222,-52.694444444
SSOG,PR0027,Arapongas,ARAPONGAS,Paraná,Arapongas,Paraná,"23°21'21.0S""","051°29'27.0W""",792,VFR,VFR,16/34,1200,23,6/F/B/Y/U,Asfalto,,,,,,Cadastrado,20/07/2027,PA2017-2398,https://pergamum.anac.gov.br/arquivos/PA2017-2398.pdf,-23.355833333,-51.490833333
SBJR,RJ0005,Jacarepaguá - Roberto Marinho,RIO DE JANEIRO,Rio de Janeiro,Rio de Janeiro,Rio de Janeiro,"22°59'15.0S""","043°22'12.0W""",3,VFR,VFR,03/21,900,30,10/F/C/Y/U,Asfalto,,,,,,Cadastrado,02/06/2027,PA2017-1808,https://pergamum.anac.gov.br/arquivos/PA2017-1808.pdf,-22.9875,-43.37
SBCP,RJ0006,Bartolomeu Lisandro,CAMPOS DOS GOYTACAZES,Rio de Janeiro,Campos dos Goytacazes,Rio de Janeiro,"21°42'04.0S""","041°18'28.0W""",17,VFR / IFR Não Precisão,VFR / IFR Não Precisão,07/25,1544,45,29/F/A/X/T,Asfalto,,,,,,Cadastrado,06/09/2028,PA2018-2768,https://pergamum.anac.gov.br/arquivos/PA2018-2768.pdf,-21.701111111,-41.307777778
SBPK,RS0005,João Simões Lopes Neto,PELOTAS,Rio Grande do Sul,Pelotas,Rio Grande do Sul,"31°42'58.0S""","052°19'52.0W""",18,VFR / IFR Não Precisão,VFR / IFR Não Precisão,06/24,1980,42,35/R/B/W/T,Concreto,15/33,1230,38,5700 Kg / 0.62 MPa,Terra,Cadastrado,13/11/2027,PA2017-3710,https://pergamum.anac.gov.br/arquivos/PA2017-3710.pdf,-31.716111111,-52.331111111
SSCK,SC0010,Olavo Cecco Rigon,CONCÓRDIA,Santa Catarina,Concórdia,Santa Catarina,"27°10'50.0S""","052°03'04.0W""",751,VFR,VFR,15/33,1480,18,12/F/B/Y/U,Asfalto,,,,,,Cadastrado,23/10/2023,PA2013-3070,https://pergamum.anac.gov.br/arquivos/PA2013-3070.pdf,-27.180555556,-52.051111111
SDLP,SP0034,Municipal José Boso,LENÇÓIS PAULISTA,São Paulo,Lençóis Paulista,São Paulo,"22°34'42.0S""","048°46'28.0W""",621,VFR,VFR,07/25,1264,20,13/F/C/Y/T,Asfalto,,,,,,Cadastrado,23/01/2027,PA2018-2894,https://pergamum.anac.gov.br/arquivos/PA2018-2894.pdf,-22.578333333,-48.774444444
SBGM,RO0006,Guajará-Mirim,GUAJARÁ-MIRIM,Rondônia,Guajará-Mirim,Rondônia,"10°47'18.0S""","065°16'54.0W""",146,VFR,VFR,17/35,1795,45,30/F/C/X/U,Asfalto,,,,,,Interditado,09/04/2030,PA2020-0974,https://pergamum.anac.gov.br/arquivos/PA2020-0974.pdf,-10.788333333,-65.281666667
SWWA,GO0012,Porangatu,PORANGATU,Goiás,Porangatu,Goiás,"13°24'16.0S""","049°09'26.0W""",366,VFR,VFR,14/32,1500,23,5700 Kg / 0.50 MPa,Asfalto,,,,,,Cadastrado,19/05/2030,PA2020-1293,https://pergamum.anac.gov.br/arquivos/PA2020-1293.pdf,-13.404444444,-49.157222222
SWKT,GO0015,Catalão,CATALÃO,Goiás,Catalão,Goiás,"18°13'01.0S""","047°53'58.0W""",802,VFR,VFR,17/35,1520,30,5700 Kg / 0.50 MPa,Asfalto,,,,,,Cadastrado,21/09/2030,PA2020-2421,https://pergamum.anac.gov.br/arquivos/PA2020-2421.pdf,-18.216944444,-47.899444444
SDRK,SP0049,Rio Claro,RIO CLARO,São Paulo,Rio Claro,São Paulo,"22°25'54.0S""","047°33'45.0W""",600,VFR,Sem Operação,03/21,1047,40,5600 Kg / 0.50 MPa,Terra,,,,,,Cadastrado,29/05/2028,PA2018-1635,https://pergamum.anac.gov.br/arquivos/PA2018-1635.pdf,-22.431666667,-47.5625
SBIH,PA0010,Itaituba,ITAITUBA,Pará,Itaituba,Pará,"04°14'32.0S""","056°00'03.0W""",33,VFR / IFR Não Precisão,VFR / IFR Não Precisão,05/23,1700,30,26/F/B/X/T,Asfalto,,,,,,Cadastrado,10/07/2030,PA2020-1747,https://pergamum.anac.gov.br/arquivos/PA2020-1747.pdf,-4.242222222,-56.000833333
SBEG,AM0001,Eduardo Gomes,MANAUS,Amazonas,Manaus,Amazonas,"03°02'28.0S""","060°03'02.0W""",80,VFR / IFR - CAT I,VFR / IFR - CAT I,11/29,2700,45,71/F/C/X/T,Asfalto,,,,,,Cadastrado,17/07/2022,PA2012-1425,https://pergamum.anac.gov.br/arquivos/PA2012-1425.pdf,-3.041111111,-60.050555556
SBCT,PR0001,Aeroporto Internacional Afonso Pena,SÃO JOSÉ DOS PINHAIS,Paraná,Curitiba,Paraná,"25°31'54.0S""","049°10'34.0W""",911,VFR / IFR - CAT II,VFR / IFR - CAT II,11/29,1798,45,33/F/A/X/T,Asfalto,15/33,2218,45,42/F/A/X/T,Asfalto,Cadastrado,20/11/2013,PA2013-3007,https://pergamum.anac.gov.br/arquivos/PA2013-3007.pdf,-25.531666667,-49.176111111
SBIL,BA0004,Bahia - Jorge Amado,ILHÉUS,Bahia,Ilhéus,Bahia,"14°48'54.0S""","039°02'00.0W""",4,VFR,VFR,11/29,1577,45,50/F/B/X/T,Asfalto,,,,,,Cadastrado,23/09/2030,PA2020-2422,https://pergamum.anac.gov.br/arquivos/PA2020-2422.pdf,-14.815,-39.033333333
SBMQ,AP0001,Alberto Alcolumbre Internacional,MACAPÁ,Amapá,Macapá,Amapá,"00°03'03.0N""","051°04'13.0W""",17,VFR / IFR Não Precisão,VFR / IFR Não Precisão,08/26,2100,45,48/F/C/X/T,Asfalto,,,,,,Cadastrado,13/11/2027,PA2017-3680,https://pergamum.anac.gov.br/arquivos/PA2017-3680.pdf,-0.050833333,-51.070277778
SBVC,BA0005,Glauber de Andrade Rocha,VITÓRIA DA CONQUISTA,Bahia,Vitória da Conquista,Bahia,"14°54'28.0S""","040°54'53.0W""",896,VFR / IFR Não Precisão,VFR / IFR Não Precisão,15/33,2100,45,44/F/B/X/T,Asfalto,,,,,,Cadastrado,26/12/2027,PA2019-2438,https://pergamum.anac.gov.br/arquivos/PA2019-2438.pdf,-14.907777778,-40.914722222
