Código OACI	CIAD	Nome	Município	UF	Município Servido	UF Servido	Latitude	Longitude	LatitudeRaiz	Lat Raiz	Lat 60	Lat 3600	LongitudeRaiz	Lon Raiz	Lon 60	Lon 3600	Altitude	Operação Diurna	Operação Noturna	Designação 1	Comprimento 1	Largura 1	Resistência 1	Superfície 1	Designação 2	Comprimento 2	Largura 2	Resistência 2	Superfície 2	Situação	Validade do Registro	Portaria de Registro	Link Portaria
SSRZ	RS0024	Dário Brasil Capoano de Oliveira	ROSÁRIO DO SUL	Rio Grande do Sul	Rosário do Sul	Rio Grande do Sul	-30.277500000	-54.925277778	30°16'39.0S"	30.000000000	0.266666667	0.010833333	054°55'31.0W"	54.000000000	0.916666667	0.008611111	102	VFR	Sem Operação	10/28	1000	20	5700 Kg / 0.50 MPa	Saibro						Interditado	09/04/2030	PA2020-0976	https://pergamum.anac.gov.br/arquivos/PA2020-0976.pdf
SWUA	GO0011	São Miguel do Araguaia	SÃO MIGUEL DO ARAGUAIA	Goiás	São Miguel do Araguaia	Goiás	-13.333888889	-50.205833333	13°20'02.0S"	13.000000000	0.333333333	0.000555556	050°12'21.0W"	50.000000000	0.200000000	0.005833333	384	VFR	Sem Operação	08/26	1500	30	5700 Kg / 0.50 MPa	Asfalto						Cadastrado	18/05/2030	PA2020-1283	https://pergamum.anac.gov.br/arquivos/PA2020-1283.pdf
SJTS	PA0028	Terra Santa	TERRA SANTA	Pará	Terra Santa	Pará	-2.072777778	-56.488888889	02°04'22.0S"	2.000000000	0.066666667	0.006111111	056°29'20.0W"	56.000000000	0.483333333	0.005555556	25	VFR	Sem Operação	12/30	1000	23	5700 Kg / 0.50 MPa	Piçarra						Interditado		PD2004-1233	https://pergamum.anac.gov.br/arquivos/PD2004-1233.pdf
SSHZ	RS0037	Walter Bündchen	HORIZONTINA	Rio Grande do Sul	Horizontina	Rio Grande do Sul	-27.638333333	-54.338888889	27°38'18.0S"	27.000000000	0.633333333	0.005000000	054°20'20.0W"	54.000000000	0.333333333	0.005555556	310	VFR		16/34	1050	18	6/F/C/Y/U	Asfalto						Cadastrado	15/05/2029	PA2019-1419	https://pergamum.anac.gov.br/arquivos/PA2019-1419.pdf
SDMO	SP0068	Monte Alto	MONTE ALTO	São Paulo	Monte Alto	São Paulo	-21.261388889	-48.529722222	21°15'41.0S"	21.000000000	0.250000000	0.011388889	048°31'47.0W"	48.000000000	0.516666667	0.013055556	750	VFR	Sem Operação	17/35	850	20	5600 Kg / 0.50 MPa	Terra						Cadastrado		PD1995-0027	https://pergamum.anac.gov.br/arquivos/PD1995-0027.pdf
SIBZ	PB0010	Itaporanga	ITAPORANGA	Paraíba	Itaporanga	Paraíba	-7.311111111	-38.113611111	07°18'40.0S"	7.000000000	0.300000000	0.011111111	038°06'49.0W"	38.000000000	0.100000000	0.013611111	292	VFR		14/32	1000	24	8/F/B/Y/U	Asfalto						Cadastrado	12/01/2028	PA2018-0027	https://pergamum.anac.gov.br/arquivos/PA2018-0027.pdf
SWBC	AM0017	Barcelos	BARCELOS	Amazonas	Barcelos	Amazonas	-0.980833333	-62.918888889	00°58'51.0S"	0.000000000	0.966666667	0.014166667	062°55'08.0W"	62.000000000	0.916666667	0.002222222	34	VFR	Sem Operação	09/27	1200	30	6/F/B/Y/U	Asfalto						Cadastrado		PD1982-0039	https://pergamum.anac.gov.br/arquivos/PD1982-0039.pdf
SBVH	RO0003	Vilhena	VILHENA	Rondônia	Vilhena	Rondônia	-12.694166667	-60.097222222	12°41'39.0S"	12.000000000	0.683333333	0.010833333	060°05'50.0W"	60.000000000	0.083333333	0.013888889	615	VFR / IFR Não Precisão	VFR / IFR Não Precisão	03/21	2600	30	30/F/A/X/T	Asfalto						Cadastrado	06/04/2025	PA2015-0819	https://pergamum.anac.gov.br/arquivos/PA2015-0819.pdf
SNIG	CE0007	Iguatu	IGUATU	Ceará	Iguatu	Ceará	-6.347777778	-39.298611111	06°20'52.0S"	6.000000000	0.333333333	0.014444444	039°17'55.0W"	39.000000000	0.283333333	0.015277778	213	VFR	Sem Operação	16/34	1410	30	16/F/C/Y/U	Asfalto						Cadastrado		PD2000-1945	https://pergamum.anac.gov.br/arquivos/PD2000-1945.pdf
SWWU	GO0013	Uruaçu	URUAÇU	Goiás	Uruaçu	Goiás	-14.544722222	-49.091111111	14°32'41.0S"	14.000000000	0.533333333	0.011388889	049°05'28.0W"	49.000000000	0.083333333	0.007777778	520	VFR	Sem Operação	18/36	1440	30	5700 Kg / 0.50 MPa	Asfalto						Cadastrado	19/05/2030	PA2020-1295	https://pergamum.anac.gov.br/arquivos/PA2020-1295.pdf
